Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2O9O26335YYVckmRgPKY3s,"Alive","Ice On The Dune","Empire Of The Sun",2013-01-01,204546,80,false,julianchy,2026-02-22T22:40:48Z,"","EMI Recorded Music Australia Pty Ltd",0.524,0.882,5,-3.038,1,0.0367,0.108,0.0000011,0.071,0.399,119.94,4
spotify:track:433eYQkvCgJKXh1o7LtplV,"Por Qué la Envidia","Con el Corazón","Yeison Jimenez",2015-12-15,177528,72,false,julianchy,2026-02-22T23:30:03Z,"popular colombian music,ranchera,vallenato","YJ COMPANY",0.873,0.315,1,-11.191,0,0.0701,0.58,0,0.0254,0.964,124.94,4
spotify:track:0b9rQbZr4di61R6PFEpyg7,"Caballero - En Vivo","Ayer, Hoy y Siempre (En Vivo)","Luis Alfonso",2021-06-04,219069,61,false,julianchy,2026-02-22T23:30:12Z,"popular colombian music,ranchera,vallenato","YT Rocket",0.631,0.493,0,-7.456,1,0.0638,0.568,0,0.121,0.679,105.249,4
spotify:track:7qbPQqOYYMPdQqRqv7bNin,"Ya No Mi Amor","Todo de Mi (Vol. 4)","Yeison Jimenez",2017-04-04,200945,69,false,julianchy,2026-02-22T23:30:15Z,"popular colombian music,ranchera,vallenato","YJ COMPANY",0.595,0.321,9,-11.197,0,0.0692,0.392,0,0.0871,0.802,165.197,3
spotify:track:4ysgNOWbc02RUnCxQMzpeL,"Maldita Traga","Mi Promesa (Con el Corazon)","Yeison Jimenez",2019-03-15,181522,65,false,julianchy,2026-02-22T23:30:33Z,"popular colombian music,ranchera,vallenato","YJ COMPANY",0.742,0.57,9,-4.302,0,0.0376,0.542,0,0.205,0.647,79.936,3
spotify:track:29abLTf6kqg1j1HMUBzJ0o,"Te Hubieras Ido Antes","Te Hubieras Ido Antes","Pipe Bueno",2015-01-27,193104,62,false,julianchy,2026-02-22T23:30:36Z,"popular colombian music,ranchera,colombian pop,vallenato","Pipe Bueno",0.758,0.398,0,-6.658,1,0.0392,0.845,0,0.181,0.899,150.085,3
spotify:track:45DhsSxAU4rENWHUfaZedt,"El Precio de Tu Error - En Vivo","Ayer, Hoy y Siempre (En Vivo)","Luis Alfonso",2021-06-04,301220,58,false,julianchy,2026-02-22T23:30:49Z,"popular colombian music,ranchera,vallenato","YT Rocket",0.533,0.552,0,-7.186,0,0.218,0.295,0.00000896,0.381,0.474,146.529,3
spotify:track:4EGZyZc7wDLqvg5YdLTZ6E,"La Ex - En Vivo","El Señorazo (En Vivo)","Luis Alfonso",2023-03-23,171235,62,false,julianchy,2026-02-22T23:30:53Z,"popular colombian music,ranchera,vallenato","La Industria",0.765,0.782,2,-4.124,0,0.099,0.293,0,0.581,0.514,100.978,4
spotify:track:7wj3hweYixctVBC1QWZpy5,"Si yo Fuera Ladrón","Pipe Bueno","Pipe Bueno",2016-07-26,182462,52,false,julianchy,2026-02-22T23:31:01Z,"popular colombian music,ranchera,colombian pop,vallenato","Pipe Bueno",0.591,0.414,8,-6.307,1,0.0344,0.717,0,0.117,0.695,84.618,4
spotify:track:5PB1ITleNasy7UMYEaBWkL,"Qué Día Es Hoy","Con el Corazón","Yeison Jimenez",2015-12-15,179664,66,false,julianchy,2026-02-22T23:31:05Z,"popular colombian music,ranchera,vallenato","YJ COMPANY",0.878,0.268,0,-12.944,0,0.0674,0.195,0,0.187,0.894,119.794,4
spotify:track:776XLzBy6fZSlHf4jZo0aL,"No Me Digas Que No (Remix)","No Me Digas Que No (Remix)","Pipe Bueno;Luis Alfonso",2023-09-23,197380,59,false,julianchy,2026-02-22T23:31:30Z,"popular colombian music,ranchera,colombian pop,vallenato","Pipe Bueno",0.805,0.525,10,-6.122,1,0.031,0.705,0,0.109,0.911,98.981,4
spotify:track:3utK0tH0YhlB5fIjdy3em7,"Melina","Amor Libre","Camilo Sesto",1975-01-02,170800,67,false,julianchy,2026-02-23T01:14:52Z,"bolero","Ariola",0.573,0.648,2,-6.203,1,0.0368,0.754,0.00000105,0.0509,0.93,133.445,4
